dt,title,desc,publisher,url,_kw,_source,_window
2024-01-01 08:00:00,BBVA y Jordi Roca fomentan el aprovechamiento alimentario - Gastroactitud,BBVA y Jordi Roca fomentan el aprovechamiento alimentario  Gastroactitud,Gastroactitud,https://news.google.com/rss/articles/CBMimgFBVV95cUxNT18wYXRxdFdzNnczWG01MGdlMnZPd1NZaGcxNzA3Z05pM3gwRmJWYWctWU5DS1VBN2R6SzBnMlYwUkwwZXRxd09EemhiWFVNLVpJYUt3MEpHT1drOC0xZ2ZERDB0U1YzRVVVOS0xWVZZeC01RkRxeHVsYm5SNy00MFpmWXdPQTN3NlR6QW1FeUhGV0VUMjRtaUFB0gGfAUFVX3lxTE45OF9yMzlTRzhtZEJDSGZmcXUwSFpJRUlGV3NIQWVFNmk2Z0ptMFJlRHVsWTFHSXl6VWlBLXFRS1ZjbDA2MG9ZUUtYOGFhd1hTR0Z0RnRncS1ybHdHR1BDMmZMNU41YVY3Q3FWYmN6cmUzLXlxU0otblBEc3pfTGRYa0Z4TE1kTFZMQUo1UjYxREc0b215N1ZmdS10ZnVtaw?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-02 08:00:00,"BBVA Argentina, entre las empresas con mejor reputación del país - Diario Responsable","BBVA Argentina, entre las empresas con mejor reputación del país  Diario Responsable",Diario Responsable,https://news.google.com/rss/articles/CBMirAFBVV95cUxPOWd6czBFdmpxd0g1dmhMaEJjMmZralRFb3BXeHVDVDl5STJtdjhsZUNlXzdfdkE4cVY1WkVFZ2NmY3Q0LXRjN3Q0UGZkMlZOaWthYWV6MW0yT0Y0cmJVN2VLTi1mRk1OTGJaLTlrdFNZTkltc29VMGxfR19DY0tQQ25SZk1aOVdKcXAzUHVSeWE3UTZyWHpDd0dSTnE1U01pYWdOb2dXam16QU5k?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-02 08:00:00,"Se filtraron los datos de mis tarjetas de crédito Visa del BBVA, incómodo y molesto, pero todo funcionó bien - Info Viajera","Se filtraron los datos de mis tarjetas de crédito Visa del BBVA, incómodo y molesto, pero todo funcionó bien  Info Viajera",Info Viajera,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNdG5ieEJVVGZkblZ2LTRsR3hzSlI0WEN0THlxTFhuMFl3bUNtc0l2d2s5ck92bGxHby1mcC1jX0hGT3FEWlpQSG9iUngyVDhtSWdZR251RU1iaGtuMlRxd0JnS3ZGNjFiREFfOHI5Vzg4bUFjalJidGdBN2VyalRQNUVFTDFreEswdDc3SEpoOGZCal91aWl0R3g1NFJpR1pqSFA4djVoczNEQlNJRm5PSjYzWmYzaGhOWmxEOHdVVGR0NVk4UXhYN0E4NWtlUmZzSnpDZ0pjWEdIeVk?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-03 08:00:00,Sabadell le hace la competencia a Banco Santander y BBVA - XTB.com,Sabadell le hace la competencia a Banco Santander y BBVA  XTB.com,XTB.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxPUXAtS2lqbXQxTFY1OUxzanNPZldlNkhQNUM0YWlKbmhKS1huMXFRT25rTERaVktzR09uT2tJME1IblB3MmdhSTAxQjVTdnV4OEdUX1V5ekFQRGdWRDMwWmd4ekVzVHBsUlY3bkRlbGlkVHRrRHdGWlAxa0k4WFdpS0wzTXZ3TFJZUVE1bnFUS2JOSnN4RlhIWWJZU0w5RXJqeHBfTEJyUF80VHRNMEJFeVlVcW0xZTgzSkxUTw?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-03 08:00:00,BBVA indica que los clientes que utilizan el móvil como datáfono elevaron un 55% su facturación - Forbes España,BBVA indica que los clientes que utilizan el móvil como datáfono elevaron un 55% su facturación  Forbes España,Forbes España,https://news.google.com/rss/articles/CBMizAFBVV95cUxQZ2pqU0RSQ25mVGN0a0g5NnBRaEhtc0lQZGI4RF9BaDI3X3NkRTVMWkNnQkE4cmdsVGxVUjNsUmlBZGlOTlU0SkdmeV9pdkNRV2xMUkk0NGVmQXNSWWtoRkNBNUwtdHhtaE92VG1udDJJNkxHbG1hSGQyQmlKUVdHcGVxdFU3aW9KQXV1TjAxNTRzSU9pWHBQc2xsMFQxMXFVSjZqY2JuN3ZVYnpNbkRKRC1XLW9QWGs4UjhLSVBBT0gxbUt1d21XWTFqa1U?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-03 08:00:00,beneficios de verano en la Costa y la Patagonia - BBVA,beneficios de verano en la Costa y la Patagonia  BBVA,BBVA,https://news.google.com/rss/articles/CBMirwFBVV95cUxPbWN5SnJfdnVYNXAtN2lWc1BHbU5VV0hSNGE3V0lsbkdNX3lWUkhnOGNScTZuVDlmeVZpZVQ3eEZuNmFVVXJYRzdrQjFhSzlrWUg1dkpvc3RXRURxel9Pd2Q2Z1NtRlJpWDFkN1k4eE0wWVNLdElHX1dmYkhPSUhJcFR2dmZRbGdKMjB2d3gwV2gtWHhjUTY5dDFCUi1PS1lMREhJQzlfeXVrNFI5T0tz?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-03 08:00:00,Los clientes de BBVA que usan el ‘smartphone’ como TPV aumentaron su facturación en un 55% - BBVA,Los clientes de BBVA que usan el ‘smartphone’ como TPV aumentaron su facturación en un 55%  BBVA,BBVA,https://news.google.com/rss/articles/CBMitgFBVV95cUxOVWtpdlp6eC1ja0w5aHoyWmV4WE1ESEVQbmp3amtzNnR2b3BWSWtXZnpnQ1hRUnZhcmw4QkdGSGxxbE5NcEkxRGdBQS1MdDNyblpjZDU4LWlvZmZBbExzNGY2QjNpUVFPN2R5MVhaMF9CS3o5MmY5dU14YjJ5NE9rY0FjeEg5OUZmLVlLbmxxUVp3ZDBXRW5hckRIRHh1dkFKc3lpYW1WaTFLWHNlYlU3XzdiYjFydw?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-03 08:00:00,"La generación Z en el trabajo: cómo son, qué buscan - BBVA","La generación Z en el trabajo: cómo son, qué buscan  BBVA",BBVA,https://news.google.com/rss/articles/CBMilgFBVV95cUxQMkk4UVhKU3V3MEhwYzBGWkFsUDFFT3RYZU1QN1k4SWNNOXIwdW1iS011WURxSDRzZTl1dTVTZ2lMb3dwNnhybk5aUUlodFNrczZxUEZtX2xmMmVCREtsemxBX0tqdTBDVFRXclJpbWVuMzVzSVlHdm5yZ1JxdTFBSkJ5SnB3TUg3SVlqRW9XcllrMzNjUmc?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-03 08:00:00,BBVA México coloca 900 millones de dólares en su primera emisión de deuda subordinada T2 del año - BBVA,BBVA México coloca 900 millones de dólares en su primera emisión de deuda subordinada T2 del año  BBVA,BBVA,https://news.google.com/rss/articles/CBMimAFBVV95cUxNRGMxT3Z2UHNNLThOTXNDMUtFblpGem9tc25tcUtZdE5CSG9yWVBleGdiRWVCc09XSWQ3Z3ZFSjRGOXlUTXRSQTk5d19jX1UzS2NiWmVCNEZfRklodGhlWldsd2pjdG13bmRWX0Raa1p1N3AzdzMteThRSm9WNlRLZW9YU1NyalAzNVVpN01OY05NNVZReER5MA?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
2024-01-04 08:00:00,"BBVA, un banco con propósito - Diario Responsable","BBVA, un banco con propósito  Diario Responsable",Diario Responsable,https://news.google.com/rss/articles/CBMifEFVX3lxTFBCOTZDS0trbThBRUdFd2ZNclJuZ0k0dzB4clNTa3lTQ1FQcTdUWVdEWW5HOUpxeTJVai1OdHBhbWYxX19YWnRtdkZ0eC1LYTh5QjlwT1ZMNUFjaTgyR2JoMXRHSUk4OU1rZHdHd1E0YTRkV2xNZlpxU0xIN0Y?oc=5&hl=en-US&gl=US&ceid=US:en,BBVA,gnews,2024-01-01..2024-01-31
