Date,Title,Link,Domain,Tag,whitelisted,has_kw,is_bbva,is_san,Sentiment_score,rank
2021-01-09,La Audiencia de Oviedo condena al Santander y Deutsche a pagar el 100 % de los gastos de gestoría y tasación hipotecaria,https://elpais.com/economia/2021-01-08/la-audiencia-de-oviedo-condena-al-santander-y-deutsche-a-pagar-el-100-de-los-gastos-de-gestoria-y-tasacion-hipotecaria.html,elpais.com,SAN,True,True,False,True,-0.6334006823599339,2.89002020470798
2021-01-12,JP Morgan prevé que Sabadell se acabará fusionando con BBVA o con el Santander,https://www.eleconomista.es/empresas-finanzas/noticias/10987828/01/21/JP-Morgan-preve-mas-fusiones-bancarias-en-Espana-con-Sabadell-como-potencial-protagonista.html,eleconomista.es,BBVA,True,False,True,True,-0.6078856196254492,2.5823656858876345
2021-01-15,BBVA frena las emisiones tras disparar el capital por la venta de su filial en EE UU | Mercados,https://cincodias.elpais.com/cincodias/2021/01/14/mercados/1610639406_088125.html,cincodias.elpais.com,BBVA,True,True,True,False,-0.591460507363081,2.8774381522089243
2021-01-25,El Santander fuerza la maquina para ganar la guerra hipotecaria pero no alcanza a BBVA,https://www.vozpopuli.com/economia-y-finanzas/santander-hipotecas-bbva_0_1430857502.html,vozpopuli.com,SAN,False,True,True,True,-0.767788995988667,2.6303366987966
2021-01-29,"El BBVA gana 1 . 305 millones en 2020 , un 63 % menos , por las provisiones realizadas por la pandemia",https://elpais.com/economia/2021-01-29/el-bbva-gana-1305-millones-en-2020-un-63-menos-por-las-provisiones-realizadas-por-la-pandemia.html,elpais.com,BBVA,True,True,True,False,-0.404771164059639,2.821431349217892
2021-01-29,Noticias del BBVA : La recompra de acciones de BBVA : un guiño a los inversores que no descarta a Sabadell,https://www.elconfidencial.com/mercados/el-valor-anadido/2021-01-29/recompra-acciones-bbva-no-descarta-compra-sabadell_2928687/,elconfidencial.com,BBVA,True,True,True,False,-0.18263156712055206,2.7547894701361657
2021-01-29,BBVA ultima un ajuste de costes en España y potencia el dividendo tras salir de EEUU,https://www.elmundo.es/economia/empresas/2021/01/29/6013f47521efa0ea058b45eb.html,elmundo.es,BBVA,True,True,True,False,-0.1643739864230156,2.7493121959269047
2021-01-29,Noticias del BBVA : BBVA ganó 1 . 305 M en 2020 (- 63 %) y anuncia un megadividendo del 10 % de sus acciones,https://www.elconfidencial.com/empresas/2021-01-29/bbva-gano-2020-anuncia-megadividendo-10-acciones_2927495/,elconfidencial.com,BBVA,True,True,True,False,0.09610753506422043,2.7288322605192663
2021-01-29,"BBVA gana 1 . 305 millones , un 62 , 9 % menos , y anuncia dividendo y recompra de acciones | Compaas",https://cincodias.elpais.com/cincodias/2021/01/28/companias/1611844805_786056.html,cincodias.elpais.com,BBVA,True,True,True,False,0.018529444932937622,2.7055588334798815
2021-01-29,BBVA gana un 63 % menos y anuncia la vuelta al dividendo y una recompra de acciones del 10 %,https://www.expansion.com/empresas/banca/2021/01/29/6013a831468aebca448b45e9.html,expansion.com,BBVA,True,True,True,False,0.007942631840705872,2.702382789552212
2021-02-01,Santander y Sabadell publican sus cuentas con los inversores pendientes del dividendo | Mercados,https://cincodias.elpais.com/cincodias/2021/01/29/mercados/1611924994_696845.html,cincodias.elpais.com,SAN,True,True,False,True,-0.04637183994054794,2.7139115519821644
2021-02-02,BBVA invertirá hasta 125 millones de euros más en su fondo de capital riesgo Propel VC | Compaas,https://cincodias.elpais.com/cincodias/2021/02/02/companias/1612265159_330551.html,cincodias.elpais.com,BBVA,True,True,True,False,0.03706774115562439,2.7111203223466873
2021-02-03,Santander pierde 8 . 771 millones en 2020 y volverá a pagar dividendo en efectivo | Compaas,https://cincodias.elpais.com/cincodias/2021/02/01/companias/1612200741_693314.html,cincodias.elpais.com,SAN,True,True,False,True,-0.4544447474181652,2.8363334242254497
2021-02-11,Alantra cree que BBVA recomprará el 20 % de sus acciones entre 2021 y 2022 | Compaas,https://cincodias.elpais.com/cincodias/2021/02/10/companias/1612997724_621748.html,cincodias.elpais.com,BBVA,True,True,True,False,-0.040037527680397034,2.7120112583041194
2021-02-12,GQG Partners desembarca en el capital de BBVA como tercer accionista | Mercados,https://cincodias.elpais.com/cincodias/2021/02/12/mercados/1613131092_523949.html,cincodias.elpais.com,BBVA,True,True,True,False,0.18037164956331253,2.7541114948689938
2021-02-14,"BBVA , ante el reto de hacer valer en Bolsa su exceso de capital | Mercados",https://cincodias.elpais.com/cincodias/2021/02/12/mercados/1613144359_689803.html,cincodias.elpais.com,BBVA,True,True,True,False,-0.6044550389051437,2.8813365116715435
2021-02-15,"Noticias del BBVA : Divarian , la inmobiliaria de BBVA y Cerberus , duplica pérdidas en el año del covid",https://www.elconfidencial.com/empresas/2021-02-15/divarian-bbva-cerberus-perdidas-covid-19_2950544/,elconfidencial.com,BBVA,True,True,True,False,-0.7002430018037558,2.910072900541127
2021-02-25,Jefferies augura rumbos opuestos en Bolsa en Santander y BBVA,https://www.expansion.com/mercados/2021/02/25/603772d2e5fdea9e0e8b45e6.html,expansion.com,BBVA,True,False,True,True,-0.05244728922843933,2.415734186768532
2021-02-27,BBVA baja por primera vez en su historia del 5 % en el capital de Telefónica | Compaas,https://cincodias.elpais.com/cincodias/2021/02/26/companias/1614367693_788881.html,cincodias.elpais.com,BBVA,True,True,True,False,-0.5315570645034313,2.8594671193510295
2021-02-28,Ibex 35 : El covid - 19 provoca al Ibex 35 unas pérdidas históricas de 22 . 500 millones en 2020,https://www.elconfidencial.com/empresas/2021-02-28/covid-ibex-perdidas-historicas-2020_2969984/,elconfidencial.com,BANK_ES,True,True,False,False,-0.8942585792392492,2.268277573771775
2021-03-09,¿ Cuánto aportan Santander y BBVA de beneficios a sus socios ?,https://www.expansion.com/empresas/banca/2021/03/09/6046ae2ae5fdea485c8b45f3.html,expansion.com,BBVA,True,True,True,True,-0.09278424084186554,3.42783527225256
2021-03-09,El juez del caso Orcel contra el Santander suspende el juicio por contacto con covid | Compaas,https://cincodias.elpais.com/cincodias/2021/03/09/companias/1615291957_996552.html,cincodias.elpais.com,SAN,True,True,False,True,-0.43859025463461876,2.831577076390386
2021-03-09,Pospuesto el juicio de Andrea Orcel contra el Santander por contactos del juez con una persona con covid,https://elpais.com/economia/2021-03-09/pospuesto-el-juicio-de-andrea-orcel-contra-el-santander-por-contactos-del-juez-con-una-persona-con-covid.html,elpais.com,SAN,True,True,False,True,-0.4847002401947975,2.8454100720584394
2021-03-14,La remuneración variable del personal clave de BBVA que no renunció a ella en 2020 fue un 57 % inferior a 2019,https://www.expansion.com/empresas/banca/2021/03/14/604e11a7e5fdea6b7f8b4640.html,expansion.com,BBVA,True,True,True,False,-0.3726137597113848,2.8117841279134157
2021-03-18,Santander e IAG salen al mercado de capitales para captar recursos a precios atractivos | Mercados,https://cincodias.elpais.com/cincodias/2021/03/18/mercados/1616065179_826062.html,cincodias.elpais.com,BBVA,True,True,False,True,0.34899311512708664,2.804697934538126
